
2025-04-24;113;1111
2025-04-24;83;989
2025-04-24;119;1023
2025-04-24;90;1048
2025-04-24;103;888
2025-04-24;83;1192
2025-04-24;121;1961
2025-04-24;138;2168
2025-04-24;152;2074
2025-04-24;114;2085
2025-04-24;105;1619
2025-04-24;162;2103
2025-04-24;149;1981
2025-04-24;136;1989
2025-04-24;125;2132
2025-04-24;128;1695
2025-04-24;124;1614
2025-04-24;81;1969
2025-04-24;143;1811
2025-04-25;140;2279
2025-04-25;128;2078
2025-04-25;125;1517
2025-04-25;123;2143
2025-04-25;113;1751
2025-04-26;131;1805
2025-04-26;124;1634
2025-04-26;130;1767
2025-04-26;142;2079
2025-04-26;138;1730
2025-04-26;94;1842
2025-04-26;134;1787
2025-04-26;131;1920
2025-04-26;111;1911
2025-04-26;151;1885
2025-04-26;151;2259
2025-04-26;118;2212
2025-04-26;92;2159
2025-05-01;147;2154
